step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,1.9244286866392941,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,5.262591130903456,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,2,0.0,0.0,5.913898061300101,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,8.87780410882577,0,0.0,1.0,0,0.0,0.5848103399114457,0,0.0
25.0,0,0.0,0.0,12.852342669069323,0,0.0,1.0,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,10.154890177411383,0,0.0,0.6256544491655789,0,0.0,0.9499513854882854,0,0.0
35.0,1,3.0,1.0,4.767996010796486,1,3.0,0.00019163887378990938,0,0.0,0.03166592504291969,1,3.0
40.0,3,12.0,2.4,1.6260992647128956,1,8.0,0.0,1,4.0,3.421921478616002e-05,2,12.0
45.0,2,22.0,3.142857142857143,5.567513651400785,1,13.0,0.4729672945851021,1,9.0,0.0,2,22.0
50.0,4,15.0,1.3636363636363635,5.685562753033361,1,1.0,0.1292252075553661,1,14.0,0.44106563850404873,2,15.0
55.0,3,29.0,2.6363636363636362,7.992910358070623,2,10.0,0.1301569270491053,1,21.0,0.7397542572513497,3,31.0
60.0,4,44.0,3.6666666666666665,5.8494828237746,2,20.0,0.36608678973476216,1,26.0,0.5387504707450912,3,46.0
65.0,5,62.0,4.133333333333334,5.341985026265826,3,33.0,0.28952230580476873,1,29.0,0.03152931232917609,4,62.0
70.0,4,62.0,3.6470588235294117,6.75600798561386,2,30.0,0.27365742181164765,2,38.0,0.479022475560735,4,68.0
75.0,7,88.0,5.866666666666666,5.938322198591318,4,39.0,0.19560668868664588,3,51.0,0.43848678632224153,7,90.0
80.0,6,94.0,4.947368421052632,4.5761141824890075,3,30.0,0.08289149634959966,3,66.0,0.36220642873596376,6,96.0
85.0,10,133.0,6.045454545454546,5.894697652378949,5,53.0,0.11314897106699771,4,80.0,0.0011674224060526208,9,133.0
90.0,9,168.0,8.0,4.2361011182951716,4,68.0,0.3970649780244251,4,100.0,0.0,8,168.0
95.0,9,209.0,9.5,5.018350851974971,5,89.0,0.22152724100989327,4,122.0,0.43472433296914137,9,211.0
100.0,9,253.0,11.5,5.570590567553496,5,113.0,0.204358310965085,4,142.0,0.43846425588082366,9,255.0
105.0,11,303.0,12.625,4.271101252096592,5,138.0,0.16408401628272826,6,165.0,0.08037897566761074,11,303.0
110.0,11,358.0,14.916666666666666,5.19666946216599,5,163.0,0.011539809872109077,6,195.0,0.14812371576209077,11,358.0
115.0,12,418.0,18.17391304347826,4.615575468019742,6,193.0,0.15475857745361182,6,225.0,0.12893758919891,12,418.0
120.0,13,423.0,20.142857142857142,2.8499513255085627,5,175.0,0.11276114977767746,7,256.0,0.00047833754731553926,12,431.0
125.0,14,492.0,22.363636363636363,3.8806697920878803,7,201.0,0.12308783260796709,7,291.0,0.20042641627438615,14,492.0
130.0,16,564.0,23.5,2.660152422351255,8,237.0,0.10540183629718501,8,327.0,0.05237308557168848,16,564.0
135.0,18,650.0,27.083333333333332,2.156386157923671,8,277.0,0.0,10,373.0,0.059432717212269996,18,650.0
140.0,18,740.0,28.46153846153846,2.922240502573262,8,317.0,0.09891832457135927,10,423.0,0.15219561458595948,18,740.0
145.0,12,491.0,18.884615384615383,4.436848493635427,1,88.0,0.3296030402596011,11,475.0,0.00013678807999289747,12,563.0
150.0,12,530.0,18.928571428571427,5.700152168114065,0,16.0,0.4603467331711407,11,534.0,0.2463233141851769,11,550.0
155.0,13,593.0,22.807692307692307,5.438537624589632,1,4.0,7.561971932413929e-06,12,593.0,0.333325549686911,13,597.0
160.0,15,663.0,26.52,3.2431845070530927,1,9.0,0.0,14,656.0,0.13827693288410842,15,665.0
165.0,20,750.0,26.785714285714285,2.4268374361856346,1,14.0,0.4036827451485506,17,738.0,2.768202149179868e-05,18,752.0
170.0,19,840.0,30.0,3.3993315749064577,1,19.0,0.5604954903205281,17,823.0,6.494658970515874e-07,18,842.0
175.0,18,930.0,32.06896551724138,3.5011952086782974,1,24.0,0.472677667321921,17,908.0,0.07804239504722921,18,932.0
180.0,21,1028.0,36.714285714285715,2.6314875734723455,3,35.0,0.22351960047643252,18,995.0,0.07537246802917945,21,1030.0
185.0,25,1140.0,34.54545454545455,2.050922942196202,4,53.0,0.18347411546385944,19,1089.0,0.05920947955079389,23,1142.0
190.0,24,1222.0,35.94117647058823,2.9450466863101754,4,36.0,0.25145698542092415,20,1188.0,1.3406635560866706e-06,24,1224.0
195.0,27,1345.0,38.42857142857143,2.581012759298739,6,59.0,0.09028410544800243,20,1288.0,0.07607227804881057,26,1347.0
200.0,28,1477.0,42.2,1.5356014660926476,7,90.0,0.06425411214796735,21,1389.0,0.04087800329620527,28,1479.0
205.0,29,1605.0,44.583333333333336,1.79465400307101,6,110.0,5.421273887961869e-05,22,1497.0,0.04155399256927773,28,1607.0
210.0,28,1745.0,49.857142857142854,2.017643660716883,6,140.0,0.13375972579781253,22,1607.0,0.0007576493903950228,28,1747.0
215.0,30,1892.0,52.55555555555556,1.04661297820696,7,172.0,0.0028539305583302576,23,1722.0,5.794550002606142e-07,30,1894.0
220.0,31,2046.0,56.833333333333336,1.3223058123788851,8,211.0,0.1963530627394659,23,1837.0,0.0,31,2048.0
225.0,31,2201.0,59.486486486486484,1.5052004430005148,8,251.0,0.10808113607056904,23,1952.0,0.0,31,2203.0
230.0,34,2361.0,56.214285714285715,1.7003092937674655,10,296.0,0.08267457310150937,23,2067.0,0.035700999562379286,33,2363.0
235.0,34,2526.0,52.625,2.420597226408454,10,346.0,0.08977950361757664,23,2182.0,0.09523466317646469,33,2528.0
240.0,36,2698.0,53.96,2.8849755536765356,10,396.0,0.1311989457182964,25,2304.0,0.007654134860308818,35,2700.0
245.0,37,2877.0,53.27777777777778,3.1561189585840688,11,447.0,0.2055576803972339,26,2432.0,0.08233080101150798,37,2879.0
250.0,34,2873.0,51.30357142857143,2.8902339458607336,7,378.0,0.13949116033143547,26,2562.0,0.030838814289927918,33,2940.0
255.0,37,3054.0,55.527272727272724,3.8164158832503046,8,353.0,0.24202590217436606,29,2707.0,0.1442836059013408,37,3060.0
260.0,37,2997.0,54.49090909090909,2.46315013528478,5,306.0,0.08553137469198017,31,2854.0,0.12136775836666132,36,3160.0
265.0,39,3054.0,55.527272727272724,2.2902740843409997,4,169.0,0.2879758281177411,35,3022.0,0.07769509397211549,39,3191.0
270.0,43,3257.0,58.160714285714285,1.4688033889082601,7,197.0,0.16738266996013285,36,3197.0,0.025953082777476776,43,3394.0
275.0,51,3496.0,61.333333333333336,0.763623092702456,9,239.0,0.0015164449284683964,40,3394.0,0.005416485176447052,49,3633.0
280.0,52,3753.0,65.84210526315789,0.7848472586510962,10,289.0,0.0456349992698663,41,3598.0,6.068039238870681e-07,51,3887.0
285.0,50,3946.0,69.2280701754386,0.9639894449964775,7,280.0,0.08662976091774233,41,3803.0,0.02288333550810759,48,4083.0
290.0,50,4194.0,73.57894736842105,1.4410116906802277,8,310.0,0.14383871705777637,41,4012.0,0.06470426936444293,49,4322.0
295.0,48,4367.0,75.29310344827586,1.21481947328922,5,252.0,0.1707777387769212,42,4217.0,0.02292330413198029,47,4469.0
300.0,50,4614.0,80.94736842105263,1.178755456015739,5,167.0,0.09741351638805944,44,4436.0,0.034784194947214304,49,4603.0
305.0,50,4849.0,85.0701754385965,0.9901719020788458,4,174.0,0.0,45,4657.0,0.015414467475669333,49,4831.0
310.0,52,5100.0,83.60655737704919,1.2927689496146921,4,194.0,0.0,46,4884.0,0.005464246792272886,50,5078.0
315.0,53,5358.0,92.37931034482759,1.0996166576674467,4,214.0,0.0,48,5117.0,0.02011138577893538,52,5331.0
320.0,53,5623.0,92.18032786885246,1.1340077716955574,4,234.0,0.19479502955157124,48,5357.0,0.019066743903306524,52,5591.0
325.0,50,5636.0,89.46031746031746,1.809139929504517,0,98.0,0.39886488346290466,49,5599.0,0.018386906567742528,49,5697.0
330.0,52,5887.0,90.56923076923077,2.2419178300734055,1,1.0,0.4929562952518695,49,5844.0,0.04974188367565831,50,5845.0
335.0,51,6142.0,97.4920634920635,1.6972996321832088,1,6.0,0.2732675156567981,49,6089.0,0.0,50,6095.0
340.0,55,6407.0,105.0327868852459,0.87152448311839,4,21.0,0.011529288461620931,49,6334.0,0.016480981557701994,53,6355.0
345.0,52,6654.0,107.3225806451613,1.1147327769947308,2,27.0,0.20669750214167926,49,6579.0,0.022749182838178332,51,6606.0
350.0,54,6918.0,108.09375,1.3280292034301837,2,28.0,0.5409111699335402,50,6830.0,0.027513183238091342,52,6858.0
355.0,55,7185.0,110.53846153846153,1.1584917066251053,3,39.0,0.24824672490937483,51,7079.0,0.018217532623193915,54,7118.0
360.0,58,7464.0,111.40298507462687,0.8361346257925698,2,48.0,0.11141351641190365,53,7342.0,0.003248066323412443,55,7390.0
365.0,61,7761.0,109.30985915492958,1.251506467274647,3,63.0,0.22862721732741942,54,7611.0,0.017999799852905268,57,7674.0
370.0,60,8054.0,113.43661971830986,1.5288478712591729,4,79.0,0.29613896291405156,54,7881.0,0.03325923602664408,58,7960.0
375.0,62,8358.0,121.1304347826087,0.875337042850698,4,99.0,0.07093947414965152,55,8159.0,0.006202669079580535,59,8258.0
380.0,65,8677.0,122.21126760563381,0.7851722891199527,5,124.0,0.1553531636366082,56,8436.0,1.4993104060820744e-06,61,8560.0
385.0,66,9002.0,130.46376811594203,0.412173233710298,5,149.0,0.0,56,8716.0,0.0,61,8865.0
390.0,65,9327.0,127.76712328767124,0.8574658050822962,5,174.0,0.1582038161755596,56,8996.0,0.0,61,9170.0
395.0,67,9656.0,132.27397260273972,0.9695386883258278,6,201.0,0.31816145375252985,56,9276.0,0.015751372943403577,62,9477.0
