step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.3787437215563845,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,8.051881592492366,0,0.0,0.9238915668428997,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,8.02355643829961,0,0.0,0.7946097487393684,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,9.579605663518974,0,0.0,1.0,0,0.0,0.9491386648159335,0,0.0
25.0,1,1.0,0.09090909090909091,10.825276382274586,0,0.0,0.8515058259825021,1,1.0,0.6798745311828012,1,1.0
30.0,2,7.0,0.5833333333333334,6.763378059451141,0,0.0,0.3355047554606942,2,7.0,0.08423836154669216,2,7.0
35.0,4,22.0,2.0,7.347976797668437,1,2.0,0.4456392121566127,3,20.0,0.3570033552832774,4,22.0
40.0,6,44.0,3.3846153846153846,4.083393754607709,1,7.0,0.1747762786435744,4,37.0,0.17137042395825772,5,44.0
45.0,8,76.0,5.846153846153846,3.7368836555521656,2,15.0,0.3154555720193923,6,61.0,0.12920624862626792,8,76.0
50.0,9,117.0,9.0,2.842907833109241,3,26.0,0.10305316207512592,6,91.0,0.16017573656212142,9,117.0
55.0,10,162.0,11.571428571428571,2.54024264642275,3,41.0,0.30929170032628744,6,121.0,0.0,9,162.0
60.0,7,162.0,11.571428571428571,4.79570326354922,1,11.0,0.5434465635629225,6,151.0,0.0,7,162.0
65.0,8,200.0,13.333333333333334,3.911238015931597,2,19.0,0.21620358348141588,6,183.0,0.12403478537008526,8,202.0
70.0,7,216.0,14.4,4.404738801159776,1,11.0,0.08367397256613994,6,211.0,0.15761984759489372,7,222.0
75.0,9,252.0,14.0,4.607447946756057,1,10.0,0.0,7,244.0,0.37898654949495597,8,254.0
80.0,11,296.0,16.444444444444443,3.9781674920653285,1,15.0,0.44465244042484764,10,283.0,0.19316615028028244,11,298.0
85.0,11,335.0,17.63157894736842,2.6962346528532395,0,0.0,0.4156535678852406,11,337.0,0.0023190767959280155,11,337.0
90.0,14,401.0,19.095238095238095,2.4526015778646304,2,7.0,0.00652651911894614,12,396.0,0.0024274039330698157,14,403.0
95.0,17,480.0,22.857142857142858,1.8244229262104468,3,22.0,0.0,13,460.0,0.10858245926316995,16,482.0
100.0,16,551.0,23.956521739130434,2.197873517848625,2,27.0,0.1485240046657531,14,526.0,0.044055176043279395,16,553.0
105.0,17,632.0,26.333333333333332,2.7909006051843632,2,37.0,0.5711606731085771,15,597.0,0.0036757157962605167,17,634.0
110.0,19,721.0,28.84,1.5692214870855616,2,47.0,0.0,16,676.0,0.030328439345127516,18,723.0
115.0,16,754.0,27.925925925925927,3.7510776990777894,0,0.0,0.9593208971864311,16,756.0,0.053330759376625875,16,756.0
120.0,17,834.0,32.07692307692308,3.344174951671625,0,0.0,0.7466267555389666,16,838.0,0.10210341898357371,16,838.0
125.0,18,923.0,34.18518518518518,2.980260928319054,1,4.0,0.19752693518900682,17,923.0,0.11363624454957702,18,927.0
130.0,18,1013.0,38.96153846153846,2.486909555246523,1,9.0,0.4389476430830568,17,1008.0,0.04837142599985673,18,1017.0
135.0,20,1112.0,41.18518518518518,1.733504650905554,1,14.0,0.0,19,1102.0,0.04727451127090972,20,1116.0
140.0,20,1212.0,40.4,3.249754763093019,1,19.0,0.6095868119134155,19,1197.0,0.048283581514659425,20,1216.0
145.0,21,1312.0,42.32258064516129,2.988559005356328,1,24.0,0.48005019744506056,19,1292.0,0.10595815603648137,20,1316.0
150.0,23,1418.0,40.51428571428571,2.988100097868869,2,31.0,0.24192258901412975,20,1391.0,0.04703588787713344,22,1422.0
155.0,23,1498.0,41.611111111111114,3.217449652990005,3,11.0,0.23275268284582293,20,1491.0,0.08422917283772305,23,1502.0
