step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.71466969306348,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.353022117938853,0,0.0,1.0,0,0.0,0.6632108477401916,0,0.0
15.0,1,3.0,0.6,8.031781874635634,0,0.0,1.0,1,3.0,0.0001268181917833286,1,3.0
20.0,1,8.0,1.1428571428571428,7.000961468516604,0,0.0,0.6377428977410927,1,8.0,0.445416714387226,1,8.0
25.0,3,21.0,2.3333333333333335,5.474535052242166,2,8.0,6.292048662225816e-05,1,13.0,0.5272736134399183,3,21.0
30.0,4,29.0,1.9333333333333333,5.6336763687175315,1,8.0,0.6111450216181863,2,21.0,0.3523433008129559,3,29.0
35.0,4,47.0,2.764705882352941,7.2919792414703615,1,13.0,0.6815366774622588,3,36.0,0.39060484262604206,4,49.0
40.0,6,70.0,3.888888888888889,6.312491194098431,3,21.0,0.4066070325150891,3,51.0,0.49542882976670577,6,72.0
45.0,10,111.0,5.285714285714286,3.70499607397915,5,44.0,0.15799684514529902,4,69.0,0.15159736146159516,9,113.0
50.0,13,174.0,7.909090909090909,3.747169446084098,7,77.0,0.11100401268521472,6,99.0,0.0,13,176.0
55.0,13,229.0,11.45,3.8991878591291895,7,102.0,0.10804527584677491,6,129.0,0.18336182126222234,13,231.0
60.0,13,294.0,14.0,3.609342878971116,7,137.0,0.13004142126350746,6,159.0,0.21650864815956872,13,296.0
65.0,15,364.0,17.333333333333332,3.183641968183283,9,177.0,2.2225239648584527e-05,6,189.0,0.24122398653117083,15,366.0
70.0,15,439.0,19.954545454545453,2.8411133649247358,9,222.0,0.15429816228021806,6,219.0,0.0,15,441.0
75.0,10,365.0,15.208333333333334,3.8406558291944393,3,179.0,0.204734173357951,6,249.0,0.09949311302432727,9,428.0
80.0,13,419.0,16.115384615384617,5.224694848982679,5,139.0,0.2708218246110397,7,284.0,0.1943077231301379,12,423.0
85.0,10,463.0,17.807692307692307,6.1161242732907715,3,148.0,0.267686070051319,7,319.0,0.2556370100055341,10,467.0
90.0,14,519.0,17.3,4.961350448347602,5,167.0,0.1770500333813396,8,356.0,0.18519857969117856,13,523.0
95.0,14,588.0,21.77777777777778,4.885308347195367,6,196.0,0.24370365550565545,8,396.0,0.209820564324839,14,592.0
100.0,16,662.0,26.48,3.8625774458112727,6,226.0,0.17346880595654351,10,440.0,0.14916256956787932,16,666.0
105.0,18,743.0,28.576923076923077,3.441861302718959,6,256.0,0.13809916458238813,11,491.0,0.00029503002197331856,17,747.0
110.0,17,828.0,33.12,4.137213211127981,6,286.0,0.0,11,546.0,0.07841180420346146,17,832.0
115.0,15,835.0,34.791666666666664,3.3237801102975624,3,238.0,0.2628237653046327,11,601.0,0.0,14,839.0
120.0,17,909.0,34.96153846153846,3.9682325144523065,4,257.0,3.338263562077816e-06,11,660.0,0.15001850516579568,15,917.0
125.0,16,976.0,33.6551724137931,4.013966808785898,3,268.0,0.0026716969704064326,12,716.0,0.13250747827463621,15,984.0
130.0,18,1062.0,35.4,3.593320702760672,5,290.0,0.2638702340225959,13,780.0,0.08284259216247712,18,1070.0
135.0,22,1161.0,36.28125,2.7862518659762507,6,316.0,0.17653090748078812,15,853.0,0.12064260527683669,21,1169.0
140.0,23,1271.0,39.71875,2.987259575764503,7,347.0,0.08563686692009384,15,928.0,0.16076823762024242,22,1275.0
145.0,22,1066.0,34.38709677419355,1.7525641795988272,4,256.0,0.240969958367489,16,1006.0,0.0004274233425208497,20,1262.0
150.0,22,1101.0,32.38235294117647,2.422458967292216,4,69.0,0.1554873082367208,17,1093.0,0.12808929981488668,21,1162.0
155.0,21,1196.0,35.1764705882353,3.032657234895684,4,100.0,0.24879358641433186,17,1178.0,0.13041946166421742,21,1278.0
160.0,28,1311.0,33.61538461538461,2.1290933380506285,7,128.0,0.15109647483975042,18,1265.0,0.0940488340667951,25,1393.0
165.0,24,1412.0,36.205128205128204,3.2719674554503664,5,132.0,0.20854061806920743,19,1359.0,0.04818432839282819,24,1491.0
170.0,23,1504.0,37.6,3.729907971527769,2,97.0,0.37371617441151056,20,1457.0,0.1224195518447571,22,1554.0
175.0,23,1616.0,37.58139534883721,4.2591694991215485,3,89.0,0.23542761121501526,20,1557.0,0.15711434261084942,23,1646.0
180.0,27,1742.0,38.71111111111111,3.504422794753948,5,112.0,0.28974920506777474,21,1660.0,0.0657896932298771,26,1772.0
185.0,29,1833.0,43.642857142857146,2.5039640156420626,5,94.0,0.04352615267482669,22,1769.0,0.07120759613674822,27,1863.0
190.0,34,1981.0,45.02272727272727,2.8740822904553665,8,129.0,0.0004870165848062114,24,1882.0,0.0002771960207341992,32,2011.0
195.0,33,2141.0,53.525,1.8053679172006412,8,169.0,0.08077377478624287,24,2002.0,0.03892893779101892,32,2171.0
200.0,35,2301.0,52.29545454545455,1.9716835261275087,8,209.0,0.11095932948890352,24,2122.0,0.06778354878640115,32,2331.0
205.0,34,2464.0,54.75555555555555,2.2905350029510134,9,251.0,0.13617363609675587,25,2243.0,0.052015932494555925,34,2494.0
210.0,36,2569.0,57.08888888888889,1.8718761508565156,9,227.0,0.2319776367401539,26,2372.0,0.016656741425012965,35,2599.0
