step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.445612856669598,0,0.0,0.958779115281057,0,0.0,0.9903068228266344,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.242524819985206,0,0.0,0.9395206656601309,0,0.0,0.9754546955887294,0,0.0,0.9911203177646247,0,0.0,1.0,0,0.0
15.0,1,2.0,0.2222222222222222,10.494160292372587,1,2.0,0.6459777192487187,0,0.0,0.9778187435222866,0,0.0,0.9698350568700498,0,0.0,1.0,1,2.0
20.0,2,10.0,0.9090909090909091,9.680515206834974,2,10.0,0.5855132481457029,0,0.0,0.9202907647302774,0,0.0,0.8119480942259529,0,0.0,0.9167214190268835,2,10.0
25.0,4,24.0,1.8461538461538463,8.529507906206314,3,21.0,0.3237733407289492,0,0.0,1.0,1,3.0,0.7585791165233626,0,0.0,0.8772148447078124,4,24.0
30.0,4,44.0,3.3846153846153846,6.760128899063462,3,36.0,0.17264116195421092,0,0.0,1.0,1,8.0,0.45625905145681506,0,0.0,0.9259782353264527,4,44.0
35.0,7,71.0,5.461538461538462,4.763172094545619,4,54.0,0.0015593249578297944,0,0.0,1.0,3,17.0,0.0009656084768370476,0,0.0,0.7926553387649831,7,71.0
40.0,8,111.0,9.25,4.028893637905111,5,79.0,0.0,0,0.0,1.0,3,32.0,2.6401721067655666e-06,0,0.0,1.0,8,111.0
45.0,8,151.0,12.583333333333334,4.177853207614663,5,104.0,0.15438343031077625,0,0.0,1.0,3,47.0,0.0,0,0.0,1.0,8,151.0
