step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.018580811324235,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9669731459154156,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.084310412755828,0,0.0,0.9579454839009405,0,0.0,1.0,0,0.0,0.9342970077649833,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.757431485683988,0,0.0,0.9607458942043756,0,0.0,0.980851007455498,0,0.0,0.6585133111920339,0,0.0,1.0,0,0.0
20.0,2,6.0,0.6666666666666666,9.179670604057097,0,0.0,0.7722673697745045,0,0.0,0.9719684672038806,2,6.0,0.3305736729000606,0,0.0,1.0,2,6.0
25.0,4,20.0,1.8181818181818181,7.207864398259556,2,4.0,0.3809497851345006,0,0.0,0.97504289087083,2,16.0,0.3321551164816963,0,0.0,0.9590957715404115,4,20.0
30.0,5,44.0,3.6666666666666665,5.326959434611958,3,18.0,0.2021818686768837,0,0.0,0.9239645366764919,2,26.0,0.03408657897080631,0,0.0,0.9138843379641952,5,44.0
35.0,7,77.0,6.416666666666667,5.30136964471098,4,37.0,7.549779836011391e-06,0,0.0,0.9584404728025219,3,40.0,0.2357441574889685,0,0.0,0.9716804708399893,7,77.0
40.0,7,112.0,7.466666666666667,6.7697098227478145,4,57.0,0.19085802015894368,0,0.0,1.0,3,55.0,0.4733838496482212,0,0.0,0.9501901042750278,7,112.0
45.0,7,147.0,9.8,5.795253685556153,4,77.0,0.044592494494499715,0,0.0,1.0,3,70.0,0.31806495325271816,0,0.0,0.9549599067127381,7,147.0
50.0,9,188.0,11.058823529411764,5.084370568987427,5,101.0,0.35100916645999697,0,0.0,1.0,4,87.0,0.007193145235282338,0,0.0,0.9641753335228318,9,188.0
