step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
215.0,42,3862.0,74.26923076923077,2.273467762301892,2,8.0,3.0312433477931684e-05,35,3544.0,0.11614804025325105,37,3552.0
220.0,43,4073.0,79.86274509803921,0.9804476081822164,2,18.0,0.0,36,3720.0,0.009563361657698324,38,3738.0
225.0,46,4298.0,81.09433962264151,1.0988767297079491,2,28.0,3.200872512960152e-06,39,3910.0,0.017790138099798406,41,3938.0
230.0,46,4512.0,86.76923076923077,1.241987753346502,1,20.0,0.0,40,4107.0,0.04613749549402539,41,4127.0
235.0,47,4745.0,87.87037037037037,1.4470813449637816,1,25.0,0.4654092934983101,41,4310.0,0.022986177827451482,42,4335.0
240.0,48,4980.0,88.92857142857143,1.0613590329344642,1,30.0,0.2293807006540663,41,4515.0,0.009231276038811926,42,4545.0
245.0,47,5183.0,89.36206896551724,1.8161370808464938,0,0.0,1.0,42,4723.0,0.021349835537880432,42,4723.0
250.0,47,5418.0,93.41379310344827,1.5520294311273866,0,0.0,0.5224347210220995,42,4935.0,0.04006902126500671,42,4935.0
255.0,51,5662.0,91.3225806451613,1.57249591633092,2,7.0,0.40138551894987695,43,5147.0,0.011588557624893523,45,5154.0
260.0,49,5904.0,93.71428571428571,2.077278973145129,1,9.0,0.6216667337539666,43,5362.0,0.047899825596348554,44,5371.0
265.0,51,6155.0,97.6984126984127,1.208424943646718,3,20.0,0.3051865436134195,43,5578.0,0.005294521837241282,46,5598.0
270.0,57,6435.0,99.0,1.243059734384986,7,52.0,0.11639859901022949,45,5801.0,0.016503056705422826,52,5853.0
275.0,58,6721.0,106.68253968253968,0.8932516457175154,8,88.0,0.10868691006239822,45,6026.0,0.0,53,6114.0
280.0,59,7011.0,113.08064516129032,0.44952282800913357,8,128.0,8.897616008286469e-07,45,6251.0,0.015343235655282714,53,6379.0
285.0,59,7301.0,112.32307692307693,0.8280899058902867,8,168.0,0.0,45,6476.0,0.03388298125876952,53,6644.0
