step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.635545573501275,0,0.0,0.9353451894805753,0,0.0,1.0,0,0.0,0.9326370754530428,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.53007334921143,0,0.0,0.9817454278813379,0,0.0,1.0,0,0.0,0.880903574041326,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,8.937679016260581,0,0.0,0.9159050918972096,0,0.0,1.0,0,0.0,0.4734434014427947,0,0.0,1.0,0,0.0
20.0,1,5.0,0.7142857142857143,11.093360894766656,0,0.0,0.952361049754239,0,0.0,1.0,1,5.0,0.4712559693003853,0,0.0,1.0,1,5.0
25.0,2,11.0,1.5714285714285714,9.008641334998572,1,1.0,0.6667920630334677,0,0.0,1.0,1,10.0,0.0,0,0.0,1.0,2,11.0
30.0,2,21.0,2.1,10.132922421726919,1,6.0,0.7355547163569425,0,0.0,0.8054851127760857,1,15.0,0.0,0,0.0,1.0,2,21.0
35.0,2,21.0,1.6153846153846154,10.054969425026998,1,1.0,0.8156241081857426,0,0.0,0.8049419261411825,1,20.0,0.4926796109117925,0,0.0,1.0,2,21.0
40.0,3,33.0,2.2,7.576904147133118,2,8.0,0.39288740431961605,0,0.0,0.5578211238845892,1,27.0,0.7053081008694304,0,0.0,1.0,3,35.0
45.0,7,60.0,3.75,5.453327242934319,3,21.0,0.2071766394895494,3,9.0,0.3779541736180957,1,32.0,0.6163839987272911,0,0.0,1.0,7,62.0
50.0,10,105.0,5.833333333333333,5.360990955003344,5,41.0,0.16088995332957381,3,24.0,0.0,2,40.0,0.5414748202011777,0,0.0,0.9083963616189696,10,105.0
55.0,12,160.0,8.421052631578947,3.5288376252997677,5,66.0,0.05200526160620989,3,39.0,0.2392190490906642,4,55.0,0.05549513406480241,0,0.0,0.8928023813967407,12,160.0
60.0,14,225.0,9.375,5.169425773305838,6,93.0,0.24180056812601602,3,54.0,0.36007149143879,5,78.0,0.2662422172215639,0,0.0,1.0,14,225.0
65.0,14,295.0,12.291666666666666,4.822739778961649,6,123.0,0.29726170785359696,3,69.0,0.20621697080199797,5,103.0,0.2642201758872908,0,0.0,1.0,14,295.0
70.0,14,346.0,13.307692307692308,4.295293479098777,5,132.0,0.24925733071158762,3,84.0,0.2417351458548463,6,130.0,0.117967732765698,0,0.0,0.8960474660834616,14,346.0
75.0,15,421.0,16.84,4.275932236041053,5,157.0,0.24536586952716352,3,99.0,0.38866616484128896,7,167.0,0.18894166475479973,0,0.0,0.9096203441771176,15,423.0
80.0,17,502.0,18.59259259259259,4.478059960322428,6,183.0,0.21341112099197118,3,114.0,0.2448744353407275,8,207.0,0.2957922618309767,0,0.0,0.9564801147800932,17,504.0
85.0,17,587.0,20.24137931034483,5.001708051725385,6,213.0,0.2841320133234935,3,129.0,0.25,8,245.0,0.1692223952678095,0,0.0,0.9465204261713009,17,587.0
90.0,17,672.0,22.4,4.796645611596113,6,243.0,0.259314210054533,3,144.0,0.23079531887271537,8,285.0,0.10204240105020738,0,0.0,0.951327639030576,17,672.0
95.0,19,763.0,25.433333333333334,3.8630499091255683,8,279.0,0.15933554063156577,3,159.0,0.0,8,325.0,0.033354809632352295,0,0.0,1.0,19,763.0
100.0,19,847.0,28.233333333333334,3.6410040015547174,7,311.0,0.22953792455039593,3,174.0,0.25,9,369.0,5.583726223689689e-06,0,0.0,0.9754825068309445,19,854.0
105.0,18,936.0,32.275862068965516,4.153257961039623,6,333.0,0.27670920994410375,3,189.0,0.22899715819895014,9,416.0,0.20813364073028406,0,0.0,0.9231812754908615,18,938.0
110.0,18,1026.0,35.37931034482759,4.643232864994323,6,363.0,0.3194367453739576,3,204.0,0.23612458220298094,9,461.0,0.3237771275017798,0,0.0,1.0,18,1028.0
115.0,18,1116.0,37.2,4.729986302702838,6,393.0,0.21814877722557952,3,219.0,0.0,9,504.0,0.3248013197676672,0,0.0,0.9192846695883872,18,1116.0
120.0,19,1207.0,38.935483870967744,4.536601058351399,7,424.0,0.18770864120702602,3,234.0,0.0,9,549.0,0.28747798939600944,0,0.0,0.9828955818755815,19,1207.0
125.0,20,1303.0,40.71875,4.113489826813026,8,460.0,0.055963196569916045,3,249.0,0.25,9,594.0,0.11177626355242713,0,0.0,1.0,20,1303.0
130.0,22,1409.0,45.45161290322581,3.4364538853814715,9,502.0,0.10004464117298346,3,264.0,0.3851917537298287,10,643.0,0.0,0,0.0,1.0,22,1409.0
135.0,22,1519.0,52.37931034482759,3.1303993747733396,9,547.0,0.09764731500882798,3,279.0,0.490723802701669,10,693.0,0.0,0,0.0,1.0,22,1519.0
140.0,22,1629.0,58.17857142857143,2.9084034442340725,9,592.0,0.09807870210105203,3,294.0,0.4841244815639371,10,743.0,0.0,0,0.0,0.9506045852885759,22,1629.0
145.0,22,1739.0,56.096774193548384,3.803663886515832,9,637.0,0.1,3,309.0,0.5414905154965024,10,793.0,0.15926786435136364,0,0.0,0.8329902550308304,22,1739.0
150.0,22,1849.0,57.78125,4.008306112906103,9,682.0,0.0939280344361845,3,324.0,0.3812467854489477,10,843.0,0.1479159719719031,0,0.0,0.8819340791647483,22,1849.0
155.0,23,1960.0,51.578947368421055,5.069745590286845,9,727.0,0.2394579870557439,3,339.0,0.39395276192673606,11,894.0,0.13993183075231236,0,0.0,0.953022235218996,23,1960.0
160.0,25,2081.0,49.54761904761905,4.649340073371194,10,777.0,0.20766874947382422,3,354.0,0.4650722969101479,12,950.0,0.06402337059911288,0,0.0,0.9360816518944235,25,2081.0
165.0,27,2205.0,51.27906976744186,4.05634187652299,10,820.0,0.09025766818296782,3,369.0,0.46842378646880184,14,1016.0,0.1108967249952406,0,0.0,0.9390751664546051,27,2205.0
170.0,28,2341.0,55.73809523809524,3.9203074963682654,10,870.0,0.06476693434348273,3,384.0,0.47558597214574133,15,1089.0,0.12203293898542877,0,0.0,0.9790945083144934,28,2343.0
175.0,30,2486.0,54.04347826086956,4.46413272040381,10,920.0,0.2632396985366406,3,399.0,0.24640444148889568,17,1169.0,0.18939491825083168,0,0.0,0.9220898582356781,30,2488.0
180.0,31,2639.0,54.979166666666664,4.546948559282289,10,970.0,0.32552608300313124,3,414.0,0.2473011151213438,18,1255.0,0.050607658577345206,0,0.0,0.8909074611709918,31,2639.0
185.0,34,2802.0,57.183673469387756,3.883865094692091,12,1025.0,0.17868045294783297,3,429.0,0.24886111067820393,19,1348.0,0.04965152518378081,0,0.0,0.9133639561563797,34,2802.0
190.0,35,2977.0,63.340425531914896,3.300774762949032,13,1090.0,0.111889710114199,3,444.0,0.0,19,1443.0,0.12767309531637483,0,0.0,0.9648344063450459,35,2977.0
195.0,36,3154.0,70.08888888888889,2.6380699646830914,14,1157.0,1.6577662788092093e-05,3,459.0,0.0,19,1538.0,0.1631339328101387,0,0.0,0.9987315370234391,36,3154.0
200.0,36,3334.0,77.53488372093024,2.244832456930906,14,1227.0,0.0,3,474.0,0.0,19,1633.0,0.09238781119628933,0,0.0,1.0,36,3334.0
205.0,36,3514.0,85.70731707317073,1.6671216956966368,14,1297.0,0.0,3,489.0,0.0,19,1728.0,0.04597322702745586,0,0.0,1.0,36,3514.0
210.0,36,3694.0,92.35,1.0546073567391272,14,1367.0,0.08929392289698566,3,504.0,0.0,19,1823.0,0.0,0,0.0,1.0,36,3694.0
215.0,37,3877.0,99.41025641025641,0.29532065429599325,15,1440.0,0.0010353705198999905,3,519.0,0.0,19,1918.0,0.0,0,0.0,1.0,37,3877.0
220.0,38,4067.0,99.1951219512195,0.8275362315785393,16,1520.0,0.0407608016846098,3,534.0,0.23227309775616511,19,2013.0,0.0,0,0.0,1.0,38,4067.0
225.0,39,4258.0,103.85365853658537,0.47501373117961304,17,1601.0,0.02562162335759798,3,549.0,0.23137569702347435,19,2108.0,0.0,0,0.0,1.0,39,4258.0
230.0,40,4455.0,99.0,1.2341967715273665,18,1688.0,0.09406058040387084,3,564.0,0.24664476488250758,19,2203.0,0.0,0,0.0,1.0,40,4455.0
235.0,41,4658.0,99.1063829787234,1.702738328540341,19,1781.0,0.13342825811452738,3,579.0,0.39732566603240665,19,2298.0,0.0,0,0.0,0.9878196533476371,41,4658.0
240.0,41,4863.0,103.46808510638297,1.676449345644199,19,1876.0,0.04916917025610106,3,594.0,0.2435801075045089,19,2393.0,0.04916149840774166,0,0.0,0.9591723311058085,41,4863.0
245.0,41,5068.0,103.42857142857143,2.138129619152274,19,1971.0,0.0904130463171829,3,609.0,0.2477650703231442,19,2488.0,0.12843720739219522,0,0.0,0.9290250490832747,41,5068.0
250.0,41,5273.0,103.3921568627451,2.549794324787354,19,2066.0,0.1168473445394045,3,624.0,0.24878035095828385,19,2583.0,0.09136738462309524,0,0.0,0.9763851187794755,41,5273.0
255.0,42,5481.0,109.62,1.9759653612831667,20,2164.0,0.06898131871220889,3,639.0,0.24682591770208606,19,2678.0,0.0,0,0.0,0.8887724848831681,42,5481.0
260.0,41,5683.0,111.43137254901961,2.039714407502046,19,2256.0,0.060709508987302124,3,654.0,0.0,19,2773.0,0.0,0,0.0,0.9430954696276872,41,5683.0
265.0,41,5888.0,122.66666666666667,1.8256986705834866,19,2351.0,0.04809037374940266,3,669.0,0.0,19,2870.0,0.09230025719773052,0,0.0,0.7313861223429778,41,5890.0
270.0,41,6093.0,126.9375,1.8218580483371654,19,2446.0,0.0,3,684.0,0.2487554868345327,19,2963.0,0.12686110195806763,0,0.0,1.0,41,6093.0
275.0,41,6298.0,128.53061224489795,2.0243098342979433,19,2541.0,0.0,3,699.0,0.37828287166392516,19,3058.0,0.08934422487566096,0,0.0,1.0,41,6298.0
280.0,41,6503.0,135.47916666666666,1.8313596644461292,19,2636.0,0.0,3,714.0,0.3737569687047027,19,3153.0,0.0,0,0.0,0.9374884354203642,41,6503.0
285.0,41,6708.0,139.75,1.954732432001905,19,2731.0,0.05,3,729.0,0.23692653908258574,19,3248.0,0.0,0,0.0,0.9423107329367899,41,6708.0
290.0,41,6913.0,144.02083333333334,1.93635758297072,19,2826.0,0.09283342354998539,3,744.0,0.23831162422937263,19,3343.0,0.0,0,0.0,0.9486814353215418,41,6913.0
295.0,41,7118.0,145.26530612244898,2.1388271432284878,19,2921.0,0.04900400755701322,3,759.0,0.4245208715983797,19,3438.0,0.04918560305676588,0,0.0,0.9630693157780842,41,7118.0
300.0,41,7323.0,146.46,2.3563289405668066,19,3016.0,0.08571468770158101,3,774.0,0.35673558994030846,19,3533.0,0.04998564266388453,0,0.0,1.0,41,7323.0
305.0,42,7530.0,153.6734693877551,1.8898506509459132,20,3113.0,0.04684962294506778,3,789.0,0.3610174989961068,19,3628.0,0.0,0,0.0,0.9866369958839785,42,7530.0
310.0,42,7740.0,151.76470588235293,2.0396233057700646,20,3213.0,0.05223201363278411,3,804.0,0.3713977823508809,19,3723.0,0.0,0,0.0,0.9095501044729509,42,7740.0
315.0,41,7938.0,162.0,1.5819592172545718,19,3302.0,0.056817087507724635,3,819.0,0.36766139439400797,19,3818.0,0.0,0,0.0,0.771936495624818,41,7939.0
320.0,41,8143.0,159.66666666666666,2.307880821115327,19,3396.0,0.09116902730330756,3,834.0,0.25,19,3915.0,0.09071453187783678,0,0.0,0.9602681048168089,41,8145.0
325.0,41,8348.0,160.53846153846155,2.3667330217236855,19,3491.0,0.08724724283496396,3,849.0,0.24725600150628335,19,4010.0,0.08913648837593902,0,0.0,0.954644379741848,41,8350.0
330.0,43,8559.0,164.59615384615384,2.146390319291668,21,3592.0,0.042047490970777285,3,864.0,0.2289008341155236,19,4103.0,0.0,0,0.0,0.8523107542888486,43,8559.0
335.0,40,7883.0,154.5686274509804,1.926994785959617,18,3393.0,0.06050480705404453,3,879.0,0.24039398605431336,19,4198.0,0.0,0,0.0,0.9675561290032082,40,8470.0
340.0,36,6814.0,136.28,2.4690144685031137,14,2886.0,0.11274887043328372,3,896.0,0.35050076453701645,19,4293.0,0.0,0,0.0,0.9664339615456712,36,8075.0
345.0,31,6227.0,124.54,2.553414643474391,9,2923.0,0.1340248373844375,3,911.0,0.4715732683473526,19,4388.0,0.0,0,0.0,0.9602069274069692,31,8222.0
350.0,31,5675.0,115.81632653061224,2.296707173664165,7,2940.0,0.15981659515300176,5,930.0,0.14253336596847507,19,4485.0,0.11588828022480899,0,0.0,1.0,31,8355.0
355.0,35,5598.0,114.24489795918367,1.899862023223621,10,2981.0,0.080221558001141,6,958.0,0.22973427367923513,19,4580.0,0.11888152173261539,0,0.0,1.0,35,8519.0
360.0,38,5785.0,109.15094339622641,1.8961102562988255,13,3043.0,0.03533412115798952,6,988.0,0.25458213601057733,19,4673.0,0.03332848133906062,0,0.0,0.9956120588686739,38,8704.0
365.0,40,5964.0,112.52830188679245,1.9489881291432891,15,3107.0,0.013085133553685797,6,1018.0,0.2725789127405876,19,4768.0,0.0,0,0.0,0.9475785279062555,40,8893.0
370.0,43,6173.0,112.23636363636363,2.331745709848729,18,3182.0,0.050624839347129136,6,1048.0,0.2680112263176756,19,4865.0,0.08855342315420603,0,0.0,0.9454337089545828,43,9095.0
375.0,44,6393.0,120.62264150943396,1.9409209849229478,19,3277.0,0.08298585336228216,6,1078.0,0.10929597021746748,19,4960.0,0.0836900316194008,0,0.0,0.8881164649901352,44,9315.0
380.0,41,6504.0,120.44444444444444,2.4275294341703813,16,3042.0,0.14252462254831655,6,1108.0,0.14285714285714285,19,5053.0,0.04259728255525949,0,0.0,0.7616295943097259,41,9203.0
385.0,38,6536.0,123.32075471698113,2.44629158463142,13,2506.0,0.10862906458260455,6,1140.0,0.3195948021842534,19,5148.0,0.0,0,0.0,0.7414908275997926,38,8794.0
390.0,37,6600.0,120.0,2.3465447165756794,12,2564.0,0.12214233500090474,6,1170.0,0.21371398235996986,19,5243.0,0.0,0,0.0,0.7611924226093166,37,8977.0
395.0,38,6672.0,117.05263157894737,2.4007953926757115,11,2620.0,0.1879325328846497,8,1206.0,0.17727025024387624,19,5338.0,0.0,0,0.0,0.9174766863935665,38,9164.0
400.0,37,6743.0,120.41071428571429,2.1344089243127704,9,2657.0,0.1625211512746894,9,1251.0,0.09443761247295981,19,5433.0,0.0,0,0.0,0.921026340136591,37,9341.0
405.0,40,6940.0,123.92857142857143,2.052075570925253,12,2690.0,0.10542217570339328,9,1296.0,0.0,19,5530.0,0.10273650935943093,0,0.0,0.9625546844907015,40,9516.0
410.0,44,7154.0,125.50877192982456,2.1840664937834076,16,2764.0,0.007406861391103518,9,1341.0,0.09438616776845318,19,5625.0,0.17566597104971446,0,0.0,0.9534782564382704,44,9730.0
415.0,47,7381.0,129.49122807017545,2.203094591064961,19,2851.0,0.00027081970760367986,9,1386.0,0.1769992314925405,19,5718.0,0.15403484419430688,0,0.0,0.9402746363482488,47,9955.0
420.0,47,7616.0,131.31034482758622,2.3806413798241413,19,2946.0,0.0494368141320916,9,1431.0,0.17030179634597697,19,5813.0,0.04888050755113023,0,0.0,1.0,47,10190.0
425.0,47,7851.0,133.0677966101695,2.5577865732489933,19,3041.0,0.08568428140893923,9,1476.0,0.0,19,5908.0,0.0,0,0.0,0.9364700771180132,47,10425.0
430.0,47,8086.0,147.01818181818183,1.9295210742278228,19,3136.0,0.08798673140875127,9,1521.0,0.09161199719913729,19,6003.0,0.049072712300693995,0,0.0,0.9123426441320888,47,10660.0
435.0,45,8182.0,146.10714285714286,2.035412051710777,17,2928.0,0.09388491012042369,9,1566.0,0.1711141027521826,19,6098.0,0.047785175249275655,0,0.0,0.8962281181741943,45,10592.0
440.0,40,8181.0,143.52631578947367,3.028410694767535,12,2418.0,0.15903930409028036,9,1613.0,0.2850631433626747,19,6193.0,0.04967757500325842,0,0.0,0.9435469030830883,40,10224.0
445.0,36,8193.0,143.73684210526315,2.505896826626213,7,2201.0,0.12872110204389633,10,1660.0,0.19406792644147702,19,6288.0,0.0,0,0.0,0.950296383717723,36,10149.0
450.0,36,8176.0,146.0,2.4708360481851477,5,2231.0,0.11290341846079904,12,1716.0,0.1291067231808107,19,6385.0,0.08769104298607278,0,0.0,0.9486729712758232,36,10332.0
455.0,39,8290.0,145.43859649122808,2.7566127552214037,7,2260.0,0.17563315548897762,13,1781.0,0.18271268536622237,19,6480.0,0.12327592019454842,0,0.0,0.929841689910823,39,10521.0
460.0,42,8493.0,143.94915254237287,2.4650972765314205,10,2303.0,0.11893812794948236,13,1846.0,0.06475302037229512,19,6573.0,0.038101734540915935,0,0.0,0.9075640038640745,42,10722.0
465.0,46,8715.0,147.71186440677965,2.0602788603269078,14,2365.0,0.0625602053176585,13,1911.0,0.0,19,6668.0,0.04559481198084991,0,0.0,0.9792335702310496,46,10944.0
