step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.661902830199782,0,0.0,0.9592527848454221,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,14.237047745640401,0,0.0,0.8740486091312375,0,0.0,0.9975393354865707,0,0.0,0.986588347665589,0,0.0,1.0,0,0.0
15.0,1,1.0,0.16666666666666666,11.67997507837059,1,1.0,0.48824446814871,0,0.0,0.9525122722258826,0,0.0,0.9396768389329607,0,0.0,1.0,1,1.0
20.0,3,9.0,1.5,4.600766516697737,2,7.0,0.002395170242398804,0,0.0,1.0,1,2.0,0.3353152035444355,0,0.0,0.9531045604340178,3,9.0
25.0,4,29.0,2.9,5.7937864744124195,2,17.0,0.46646603861493857,0,0.0,0.9398168949919936,2,12.0,0.008430589748296713,0,0.0,0.9862053030243231,4,29.0
30.0,5,53.0,4.416666666666667,7.209710378692669,2,27.0,0.6140410088865723,0,0.0,0.9685868987567199,3,26.0,1.1999474120756412e-05,0,0.0,1.0,5,53.0
35.0,5,78.0,6.0,7.554329719343117,2,37.0,0.5280537025194131,0,0.0,0.9775672039187937,3,41.0,0.23306681332668683,0,0.0,0.9541420094917585,5,78.0
40.0,5,103.0,7.923076923076923,7.472621617727857,2,47.0,0.4642229786833487,0,0.0,0.9189428859497125,3,56.0,0.4339169272194137,0,0.0,0.9887085045085134,5,103.0
45.0,5,128.0,8.0,7.919543056499215,2,57.0,0.4125662495350336,0,0.0,0.9570351400292808,3,71.0,0.4391794678166107,0,0.0,0.967606484356782,5,128.0
50.0,6,156.0,9.75,7.0385101128107035,3,70.0,0.20097463520596243,0,0.0,0.9106611295662631,3,86.0,0.3305237208180713,0,0.0,0.9761893132984512,6,156.0
55.0,5,178.0,10.470588235294118,6.641238682898929,2,79.0,0.27485947452179194,0,0.0,1.0,3,101.0,0.0026001064723207945,0,0.0,0.970423281553204,5,180.0
60.0,6,208.0,11.555555555555555,7.742811872933706,2,87.0,0.4678250262375393,0,0.0,0.9346928873610904,4,123.0,0.32244588471966307,0,0.0,0.9570351400292808,6,210.0
65.0,6,238.0,13.222222222222221,8.15099102635848,2,97.0,0.3251861809729883,0,0.0,0.9207588883270458,4,143.0,0.46794439152756756,0,0.0,0.9106611295662631,6,240.0
70.0,6,268.0,14.88888888888889,6.880440475673564,2,107.0,0.005557296778442317,0,0.0,0.957317444448028,4,161.0,0.3742720199023541,0,0.0,0.9931083243638119,6,268.0
75.0,8,307.0,15.35,7.118105118417079,3,122.0,0.3679990395378602,0,0.0,0.9920418540887964,5,185.0,0.2322696193181796,0,0.0,0.9545217120905913,8,307.0
80.0,8,347.0,16.523809523809526,6.537934135745649,3,137.0,0.3201202421179666,0,0.0,0.935182653511655,5,210.0,0.14739298371907988,0,0.0,0.918655364010055,8,347.0
85.0,10,392.0,18.666666666666668,5.860542888392217,4,153.0,0.32579824202688884,0,0.0,0.9323544563128744,6,239.0,0.04909422020564637,0,0.0,0.852090412852287,10,392.0
90.0,11,445.0,23.42105263157895,5.42204236473039,4,173.0,0.19115824141562998,0,0.0,1.0,7,272.0,0.12495287316787268,0,0.0,0.9523382613538762,11,445.0
95.0,11,500.0,27.77777777777778,4.889261874804272,4,193.0,0.1923038996753808,0,0.0,1.0,7,307.0,0.21115698369509367,0,0.0,0.9208576310689219,11,500.0
100.0,11,555.0,30.833333333333332,5.200845564278725,4,213.0,0.331414185620272,0,0.0,1.0,7,342.0,0.20645581978436692,0,0.0,1.0,11,555.0
105.0,11,610.0,33.888888888888886,4.960236621249205,4,233.0,0.1840928259940547,0,0.0,0.968876998055933,7,377.0,0.07809856314858198,0,0.0,1.0,11,610.0
110.0,12,668.0,33.4,4.8850840898328975,4,253.0,0.0,0,0.0,0.8881148500176402,8,415.0,0.10542265143950058,0,0.0,1.0,12,668.0
115.0,12,728.0,36.4,4.825293449490813,4,273.0,0.0,0,0.0,0.8523003450958156,8,455.0,0.19047256196942,0,0.0,0.9158779293008303,12,728.0
120.0,12,788.0,35.81818181818182,5.595387519329782,4,293.0,0.38688958625566455,0,0.0,0.909060015350588,8,495.0,0.0,0,0.0,0.9294497114099862,12,788.0
125.0,12,848.0,33.92,6.272220114294473,4,313.0,0.5298701561905855,0,0.0,1.0,8,535.0,0.0,0,0.0,0.9780274397814755,12,848.0
130.0,13,911.0,35.03846153846154,5.7812659732211635,5,336.0,0.3922890907043307,0,0.0,0.9151060741379495,8,575.0,0.0,0,0.0,0.910933530200427,13,911.0
135.0,14,980.0,33.793103448275865,5.5341000268058504,6,365.0,0.24966562190559358,0,0.0,0.9712216631805155,8,615.0,0.2469998131621967,0,0.0,0.8587344225645792,14,980.0
140.0,16,1059.0,35.3,4.532887049133861,8,404.0,0.20950246511639253,0,0.0,1.0,8,655.0,0.24390758055768105,0,0.0,0.9371675849223363,16,1059.0
145.0,19,1149.0,33.794117647058826,5.367250450600708,10,450.0,0.3109920202406939,0,0.0,0.9086543237449161,9,699.0,0.09714505339280824,0,0.0,0.9205409257362398,19,1149.0
