step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.358932779751402,0,0.0,0.9866804447238551,0,0.0,0.9866308517779111,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9887617103589974,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9870679837481575,0,0.0,0.9865576584754471,0,0.0,0.9877471583657533,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9839348397692641,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.281267601640568,0,0.0,0.9374804218843935,0,0.0,0.9834530861674242,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9049447630164451,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.983011804479731,0,0.0,0.9840856155713829,0,0.0,0.9838634560789392,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9820284654303817,0,0.0,1.0,0,0.0
15.0,4,4.0,0.1,11.174513863917529,1,1.0,0.7948499202632108,0,0.0,0.9509884826720769,0,0.0,1.0,0,0.0,1.0,1,1.0,0.5923993283340785,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9423230345334406,0,0.0,0.9751537492713387,1,1.0,0.6922149325737331,0,0.0,0.9403339693045234,0,0.0,0.9772408991298833,0,0.0,0.943946387332845,1,1.0,0.7554511602232435,0,0.0,1.0,4,4.0
20.0,9,29.0,0.5178571428571429,10.012849140691808,1,1.0,0.7511647011841939,0,0.0,0.9540388999653867,0,0.0,1.0,0,0.0,1.0,3,10.0,0.5184747994966726,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9574430540118267,0,0.0,0.9652206806105259,3,11.0,0.5562994807997499,0,0.0,0.9768899459490168,0,0.0,0.9338606025240551,0,0.0,0.9475635779433222,2,7.0,0.46699549957152325,0,0.0,1.0,9,29.0
25.0,17,96.0,1.3333333333333333,9.831569967965184,3,11.0,0.6838971486481689,0,2.0,0.9181762606544405,0,0.0,1.0,0,0.0,0.9610929097376023,4,28.0,0.4407044569250008,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9590258188602436,0,0.0,0.9849933176083576,5,31.0,0.5205516026725447,0,0.0,0.9685286158014101,0,0.0,0.952914567505744,0,0.0,0.947709156920194,5,26.0,0.43547521277138684,0,0.0,0.9785225934878277,17,98.0
30.0,16,161.0,2.0125,9.026103786029562,0,5.0,0.696654959566951,0,2.0,0.8865241952377645,0,0.0,0.9695618369930199,0,0.0,0.9605668441621098,6,54.0,0.26429833561828314,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9911543967929927,0,0.0,0.9595743167274059,5,60.0,0.2820689911223137,0,0.0,0.9743633153628528,0,0.0,0.9716873516898528,0,0.0,0.9538395435179687,5,51.0,0.4166493659624215,0,0.0,0.9758482596099085,16,172.0
35.0,28,273.0,2.84375,8.545560263333643,2,3.0,0.7669183264994992,2,5.0,0.4827511948678116,0,0.0,0.971047270984192,0,0.0,0.9478130145639548,8,90.0,0.23294592042427223,0,0.0,0.9201604899696093,0,0.0,1.0,0,0.0,0.9610929097376023,0,0.0,0.9599783648724138,0,0.0,0.9482979019652871,8,96.0,0.43749906897094276,0,0.0,0.9634184230354697,0,0.0,0.9835154279715517,0,0.0,0.9513375321141208,8,85.0,0.3395290584214074,0,0.0,0.9599986922064355,28,279.0
40.0,35,427.0,3.8125,8.30175590362945,0,0.0,0.7170876814181901,6,31.0,0.3885551790579076,0,0.0,0.9685549745382203,0,0.0,0.9422015821988922,10,135.0,0.27886827967758726,0,0.0,0.9650611710906272,0,0.0,0.9644796198492159,0,0.0,0.936290999321829,0,0.0,0.9647495761905186,0,0.0,0.9779941241997411,10,141.0,0.45395629206035687,0,0.0,0.922823019437474,0,0.0,0.9763700423304452,0,0.0,0.9249659464950678,9,130.0,0.2704953304460378,0,0.0,0.9619346828464832,35,437.0
45.0,44,628.0,5.233333333333333,8.049802655452208,2,7.0,0.575756438037559,6,61.0,0.5885909759759659,0,0.0,0.9627210464758671,0,0.0,0.9682826969541476,12,191.0,0.26742262947819945,0,0.0,0.9835411058336395,0,0.0,0.9722799175652721,0,0.0,0.9516420723001326,0,0.0,0.9372816872506178,0,0.0,0.9664562148245814,12,192.0,0.2021107249985134,0,0.0,0.946789489713034,0,0.0,0.9559061269088586,0,0.0,0.9716533558242911,12,183.0,0.35360014326710687,0,0.0,0.9439295994497222,44,634.0
