step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,30,311.0,2.0733333333333333,8.207704960408224,3,45.0,0.5007939725633205,0,4.0,0.9097333261874608,0,4.0,0.7223897488041748,0,0.0,0.8937604318402629,10,140.0,0.3815822265015905,0,0.0,0.9218088129759823,0,4.0,0.8739354680245562,0,0.0,0.9682860946638853,0,0.0,0.9695492946560117,0,0.0,0.9559363644163853,10,142.0,0.23305065625572585,0,34.0,0.49446961403889883,0,4.0,0.6737520192083003,0,2.0,0.8476579044269501,6,89.0,0.40395616759154207,1,57.0,0.3826943041158431,30,525.0
60.0,31,164.0,1.0580645161290323,7.91063397483439,7,66.0,0.35122153282689156,2,7.0,0.6471666088001282,0,4.0,0.7320029165491597,0,0.0,0.9170153865727029,6,126.0,0.2513478093414445,0,2.0,0.7858476529532527,0,4.0,0.9424132958846856,0,0.0,0.9243914211923225,0,0.0,0.9381063227958446,0,0.0,0.9474040134745567,6,131.0,0.4004322002890775,2,11.0,0.5033649512578883,2,10.0,0.5988352547114572,0,2.0,0.9407119239956236,3,40.0,0.4290155344683503,3,17.0,0.489595296919201,31,420.0
65.0,23,109.0,0.6449704142011834,8.257828633729615,12,114.0,0.30947138790525586,5,24.0,0.354571833307153,0,5.0,0.6561713318191521,0,0.0,0.9661116614796903,2,64.0,0.38194384012508775,0,6.0,0.8378797043023479,1,8.0,0.2513850318581599,0,0.0,0.9631461309909075,0,0.0,0.9334452718784563,0,0.0,0.9481544190605572,0,58.0,0.5647897255700541,0,7.0,0.8391045527117718,0,9.0,0.7491772980495921,0,2.0,0.9468656230154581,3,29.0,0.3030436196160335,0,20.0,0.6235110376859049,23,346.0
70.0,38,243.0,1.3728813559322033,7.928655080115896,13,176.0,0.30433365901478643,7,58.0,0.2845925927738,3,12.0,0.45351723949923545,0,0.0,0.9678576214485282,2,60.0,0.5187677194323007,0,8.0,0.8955402666378095,0,5.0,0.5544153358843179,0,4.0,0.8113220134403321,0,0.0,0.9674965263799622,0,0.0,0.9908058853452987,2,46.0,0.5110538806820167,0,4.0,0.910822318993624,2,8.0,0.4850217045058358,1,3.0,0.5402724961669602,7,51.0,0.33880226619318504,1,9.0,0.522236712554665,38,444.0
75.0,68,518.0,2.8461538461538463,6.732192598706513,15,248.0,0.23650057215447537,7,93.0,0.2871467779603216,5,34.0,0.4922292129329279,0,0.0,0.9285367637105701,8,89.0,0.38182153711289746,1,9.0,0.5558480528019559,0,2.0,0.8068285986958487,0,4.0,0.9057440097207975,0,0.0,0.9437914465380755,0,0.0,0.9803437812868184,8,72.0,0.38137323847313653,2,4.0,0.5393896171973409,4,26.0,0.5265472266778921,3,13.0,0.3768175043413783,9,93.0,0.38215123904791365,6,27.0,0.4004185849836935,68,714.0
80.0,78,805.0,4.149484536082475,6.571344917622833,16,327.0,0.2484840855494503,7,128.0,0.33879322006929213,5,56.0,0.47981923341538446,0,4.0,0.47588656440085825,13,144.0,0.23637085996620197,6,24.0,0.38826873025882336,0,0.0,0.9251775852643261,0,4.0,0.9484435975482945,0,0.0,0.94777211197407,0,0.0,0.9546190667059582,11,122.0,0.2996529092937399,4,20.0,0.30415180248896,4,46.0,0.668680975094525,0,6.0,0.5454503452376355,5,95.0,0.4711743529833875,7,61.0,0.2590571394420034,78,1037.0
85.0,70,907.0,4.381642512077295,6.630316124944688,19,417.0,0.24769214053407376,2,102.0,0.4283833025857748,0,38.0,0.5413337366756834,0,6.0,0.80296721598432,15,214.0,0.1381442484005412,6,54.0,0.425804783308061,0,0.0,0.8770308752312495,1,6.0,0.3349596595412216,0,4.0,0.7581246918046748,0,0.0,0.9485144621140482,13,184.0,0.3189831218807381,1,18.0,0.27222629054914677,4,66.0,0.6123746053536019,0,0.0,0.858166177063767,2,34.0,0.47468368244462067,7,100.0,0.4128931845657394,70,1243.0
90.0,82,1260.0,6.0576923076923075,5.961552829403418,20,515.0,0.1951552813835787,2,29.0,0.42954925279268,2,5.0,0.5545800344440248,0,8.0,0.8362143627492739,16,293.0,0.11682217009312143,6,84.0,0.2333600410181254,0,0.0,0.5709706852225016,5,26.0,0.0005415583615758828,0,4.0,0.8523633231964838,0,0.0,0.9698103051815828,14,254.0,0.22336844124525498,0,1.0,0.6734001647362413,7,94.0,0.09700216082860491,0,0.0,0.9261709296593645,3,36.0,0.3574094444942642,7,135.0,0.5214965578953086,82,1484.0
95.0,97,1596.0,7.457943925233645,5.223050470844198,22,624.0,0.1592294715329861,1,27.0,0.4787023699225467,0,5.0,0.5292135356672849,0,4.0,0.770766238748256,18,381.0,0.2552991593837701,0,63.0,0.3718102253428463,4,18.0,0.21435458847331945,5,51.0,0.1986949445595263,2,9.0,0.7215283302220163,0,0.0,0.9662370100396337,17,334.0,0.22951106892202905,0,4.0,0.4342929776267892,11,143.0,0.08227542353515564,0,0.0,0.9596556447665936,6,49.0,0.338127189561074,11,180.0,0.33167697469764873,97,1892.0
100.0,104,2016.0,8.96,5.616916738121752,25,743.0,0.17685709805076608,1,5.0,0.7555598959784572,0,0.0,0.8428846870013984,2,8.0,0.4155101489410477,20,477.0,0.3306928523014565,2,5.0,0.6329048892306057,0,21.0,0.7336559109088832,0,35.0,0.6905197988918752,0,4.0,0.6027498619885733,0,0.0,0.9728524578180539,18,422.0,0.2568526357546986,0,4.0,0.8374225215359683,11,202.0,0.08073257072301235,0,0.0,0.9289603894575668,10,89.0,0.3192460567665871,15,244.0,0.17177434810496559,104,2259.0
