step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,14.114221122278366,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9414662260026827,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,13.296781285395548,0,0.0,0.9594607680532469,0,0.0,1.0,0,0.0,0.943648309257094,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,11.276359397326061,0,0.0,0.8728677688380135,0,0.0,1.0,0,0.0,0.6905237615566834,0,0.0,1.0,0,0.0
25.0,2,5.0,0.5555555555555556,9.04713668871987,1,1.0,0.6590367396194103,0,0.0,1.0,1,4.0,0.6184388829209391,0,0.0,1.0,2,5.0
30.0,4,20.0,1.8181818181818181,8.262664542528011,1,6.0,0.6404792607543724,0,0.0,1.0,3,14.0,0.49445722520632185,0,0.0,1.0,4,20.0
35.0,4,40.0,3.6363636363636362,7.961818886038398,1,11.0,0.4853864166731057,0,0.0,1.0,3,29.0,0.48281001177491883,0,0.0,1.0,4,40.0
40.0,5,62.0,5.166666666666667,7.362361166297833,1,16.0,0.0,0,0.0,0.9271763359516224,4,46.0,0.35245357714759484,0,0.0,1.0,5,62.0
45.0,5,87.0,7.909090909090909,6.748817396180136,1,21.0,0.0,0,0.0,0.9642855114412581,4,66.0,0.31388677067235615,0,0.0,1.0,5,87.0
50.0,5,112.0,8.0,7.715828358911414,1,26.0,0.4562485542670689,0,0.0,0.9300638515221094,4,86.0,0.391806442821232,0,0.0,0.9368033560361726,5,112.0
55.0,6,138.0,9.2,7.27180682281259,1,31.0,0.705265086894292,0,0.0,0.9706519396473023,5,107.0,0.15987084263745407,0,0.0,0.9345554123370895,6,138.0
60.0,6,168.0,11.2,5.82879064886446,1,36.0,0.4711136261492902,0,0.0,0.9745443839383308,5,132.0,0.0028901926437105226,0,0.0,1.0,6,168.0
65.0,8,208.0,12.235294117647058,6.805824915925944,2,46.0,0.4720628244526833,0,0.0,0.965709372413026,6,162.0,0.23992752264524322,0,0.0,0.977082458098418,8,208.0
