step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.718629247118589,0,0.0,0.955921692100338,0,0.0
10.0,0,0.0,0.0,13.321414869904993,0,0.0,0.9704431533903985,0,0.0
15.0,0,0.0,0.0,13.011096601976076,0,0.0,0.9090965017444225,0,0.0
20.0,0,0.0,0.0,12.381662446143679,0,0.0,0.8744656522456088,0,0.0
25.0,0,0.0,0.0,10.159775040638879,0,0.0,0.6559387105376742,0,0.0
30.0,5,17.0,1.1333333333333333,6.526548663972661,5,17.0,0.3481889980740842,5,17.0
35.0,8,48.0,2.823529411764706,5.157029711872249,8,48.0,0.30419374794674103,8,48.0
40.0,11,96.0,5.052631578947368,5.338952080218825,11,96.0,0.37164168452385904,11,96.0
45.0,12,154.0,6.695652173913044,4.764900259372873,12,154.0,0.3216597473954512,12,154.0
50.0,10,92.0,3.4074074074074074,5.1541161708464545,10,171.0,0.3285846956671428,10,171.0
55.0,4,12.0,0.41379310344827586,6.901324664923287,4,124.0,0.40865031539126323,4,124.0
60.0,0,0.0,0.0,6.586340840394069,0,89.0,0.35581559080684055,0,89.0
65.0,6,20.0,0.7407407407407407,5.864797589633016,6,109.0,0.21157224157703716,6,109.0
70.0,7,17.0,0.6071428571428571,5.64780575673184,7,101.0,0.27840417158287944,7,101.0
75.0,2,6.0,0.2222222222222222,7.074224383273299,2,45.0,0.3892788901560579,2,45.0
80.0,1,10.0,0.3225806451612903,8.771275316345461,1,19.0,0.48338601757416144,1,19.0
85.0,2,4.0,0.14285714285714285,6.926663042520272,2,13.0,0.33468066740725166,2,13.0
90.0,9,37.0,1.3703703703703705,5.5671931015527925,9,46.0,0.2957091035594481,9,46.0
95.0,14,96.0,3.5555555555555554,3.557521734462743,14,105.0,0.19173971000838488,14,105.0
100.0,20,183.0,6.535714285714286,2.607254671491604,20,192.0,0.15878842179071592,20,192.0
105.0,24,296.0,8.969696969696969,3.4595407604122013,24,305.0,0.19837674794159452,24,305.0
110.0,27,423.0,12.085714285714285,2.9215851281347205,27,432.0,0.15875498172838615,27,432.0
115.0,23,380.0,10.555555555555555,1.8530473216458812,23,497.0,0.09170562382824515,23,497.0
120.0,18,230.0,5.75,3.7734953455121043,18,483.0,0.1542233190530115,18,483.0
125.0,11,105.0,2.625,4.598910398787522,11,514.0,0.19923440171787296,11,514.0
130.0,7,27.0,0.6585365853658537,4.941833164155072,7,550.0,0.19996649777705122,7,550.0
135.0,13,77.0,1.9743589743589745,3.793080250415978,13,601.0,0.1264666584046274,13,601.0
140.0,18,159.0,3.7857142857142856,2.6532046906831357,18,684.0,0.13863355087493134,18,684.0
145.0,26,275.0,6.875,1.4424924693375565,26,803.0,0.08447214757615142,26,803.0
150.0,30,283.0,6.738095238095238,1.1457080766798153,30,844.0,0.04459723463363238,30,844.0
155.0,24,225.0,5.232558139534884,3.069950462759179,24,786.0,0.12101073719741673,24,786.0
160.0,14,155.0,3.604651162790698,3.98789015848432,14,825.0,0.15721569405317132,14,825.0
165.0,12,101.0,2.3488372093023258,4.517948123268152,12,892.0,0.1963386514685348,12,892.0
170.0,8,25.0,0.625,4.272290120808188,8,832.0,0.21289719065596666,8,832.0
175.0,4,7.0,0.16279069767441862,4.88291097070308,4,664.0,0.2506079710339946,4,664.0
180.0,7,15.0,0.3488372093023256,4.556736874020865,7,648.0,0.202086588163268,7,648.0
185.0,12,43.0,1.0238095238095237,4.0591316652898914,12,693.0,0.12223394287181442,12,693.0
190.0,13,92.0,2.358974358974359,3.4979760267884594,13,752.0,0.14323710814204335,13,752.0
195.0,20,180.0,4.5,2.5483876045456806,20,840.0,0.12355956867306417,20,840.0
200.0,27,300.0,7.142857142857143,2.091495981914954,27,960.0,0.13000195125104289,27,960.0
205.0,35,457.0,10.386363636363637,1.8442639141364254,35,1117.0,0.07052990344806963,35,1117.0
210.0,32,461.0,10.477272727272727,1.9586664414327957,32,1148.0,0.06547608573524062,32,1148.0
215.0,24,368.0,8.55813953488372,2.8017813249178465,24,1021.0,0.08822798111690835,24,1021.0
220.0,17,252.0,6.0,3.2362384149911865,17,1113.0,0.1059183645264512,17,1113.0
225.0,14,155.0,3.875,3.3853673078883864,14,1186.0,0.12889738372103615,14,1186.0
230.0,15,95.0,2.4358974358974357,3.2542445870932983,15,1252.0,0.1539884011915154,15,1252.0
235.0,21,184.0,4.842105263157895,1.8393416942427714,21,1342.0,0.08969028083406781,21,1342.0
240.0,28,310.0,7.75,1.4518072498150687,28,1470.0,0.059476658258354166,28,1470.0
245.0,35,471.0,10.953488372093023,1.5794973248849158,35,1635.0,0.04877305796880567,35,1635.0
250.0,32,475.0,11.30952380952381,1.4884449459249938,32,1629.0,0.0456951715158506,32,1629.0
255.0,23,357.0,8.30232558139535,3.1709178947465078,23,1440.0,0.13563643993402494,23,1440.0
260.0,17,258.0,5.863636363636363,4.196965340498399,17,1438.0,0.19135641145184784,17,1438.0
265.0,13,153.0,3.642857142857143,4.467083952667761,13,1510.0,0.14936453091135712,13,1510.0
270.0,7,25.0,0.6578947368421053,3.8785695671689973,7,1398.0,0.1498991472859348,7,1398.0
275.0,4,11.0,0.275,4.848753273806994,4,1131.0,0.21605145834353207,4,1131.0
280.0,3,8.0,0.19047619047619047,4.429154619733816,3,1139.0,0.20287974152117277,3,1139.0
